systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-1,0,2890.00,55.00,935.00
unit-1,5,2825.02,57.53,731.90
unit-1,10,2784.29,59.53,718.33
unit-1,15,2759.33,61.22,754.99
unit-1,20,2743.44,62.80,777.27
unit-1,25,2732.98,64.33,785.27
unit-1,30,2725.85,65.82,788.11
unit-1,35,2720.87,67.29,789.10
unit-1,40,2717.30,68.73,789.43
unit-1,45,2714.70,70.17,789.53
unit-1,50,2712.77,71.60,789.55
unit-1,55,2711.34,73.02,789.55
unit-1,60,2710.25,74.43,789.55
unit-1,65,2709.44,75.83,789.55
unit-1,70,2708.81,77.23,789.54
unit-1,75,2708.34,78.63,789.54
unit-1,80,2707.98,80.03,789.54
unit-1,85,2707.70,81.42,789.54
unit-1,90,2707.49,82.82,789.54
unit-1,95,2707.33,84.21,789.54
unit-1,100,2707.21,85.61,789.54
unit-1,105,2707.12,87.01,789.54
unit-1,110,2707.04,88.41,789.54
unit-1,115,2706.99,89.82,789.54
unit-1,120,2706.95,91.23,789.54
unit-1,125,2706.92,92.64,789.54
unit-1,130,2706.90,94.06,789.54
unit-1,135,2706.88,95.48,789.54
unit-1,140,2706.87,96.90,789.54
unit-1,145,2706.86,98.32,789.54
unit-1,150,2706.85,99.74,789.54
unit-1,155,2706.85,100.00,789.54
unit-1,160,2706.85,100.00,789.54
unit-1,165,2706.85,100.00,789.54
unit-1,170,2706.84,100.00,789.54
unit-1,175,2706.85,100.00,789.54
unit-1,180,2706.85,100.00,789.54
unit-1,185,2706.85,100.00,789.54
unit-1,190,2706.85,100.00,789.54
unit-1,195,2706.85,100.00,789.54
unit-1,200,2706.85,100.00,789.54
unit-1,205,2706.85,100.00,789.54
unit-1,210,2706.86,100.00,789.54
unit-1,215,2706.86,100.00,789.54
unit-1,220,2706.86,100.00,789.54
unit-1,225,2706.86,100.00,789.54
unit-1,230,2706.87,100.00,789.54
unit-1,235,2706.87,100.00,789.54
unit-1,240,2706.87,100.00,789.54
unit-1,245,2706.87,100.00,789.54
unit-1,250,2706.88,100.00,789.54
unit-1,255,2706.88,100.00,789.54
unit-1,260,2706.88,100.00,789.54
unit-1,265,2706.88,100.00,789.54
unit-1,270,2706.89,100.00,789.54
unit-1,275,2706.89,100.00,789.54
unit-1,280,2706.89,100.00,789.54
unit-1,285,2706.89,100.00,789.54
unit-1,290,2706.90,100.00,789.54
unit-1,295,2706.90,100.00,789.54
unit-1,300,2706.90,100.00,789.54
unit-2,0,2890.00,55.00,935.00
unit-2,5,2825.02,57.53,731.90
unit-2,10,2784.29,59.53,718.33
unit-2,15,2759.33,61.22,754.99
unit-2,20,2743.44,62.80,777.27
unit-2,25,2732.98,64.33,785.27
unit-2,30,2725.85,65.82,788.11
unit-2,35,2720.87,67.29,789.10
unit-2,40,2717.30,68.73,789.43
unit-2,45,2714.70,70.17,789.53
unit-2,50,2712.77,71.60,789.55
unit-2,55,2711.34,73.02,789.55
unit-2,60,2710.25,74.43,789.55
unit-2,65,2709.44,75.83,789.55
unit-2,70,2708.81,77.23,789.54
unit-2,75,2708.34,78.61,789.54
unit-2,80,2707.98,79.95,788.63
unit-2,85,2707.70,81.46,766.47
unit-2,90,2707.49,83.35,734.52
unit-2,95,2707.33,85.58,704.16
unit-2,100,2707.21,88.07,678.97
unit-2,105,2707.12,90.78,659.13
unit-2,110,2707.04,93.65,643.86
unit-2,115,2706.99,96.65,632.22
unit-2,120,2706.95,99.75,623.39
unit-2,125,2706.92,100.00,616.71
unit-2,130,2706.90,100.00,611.67
unit-2,135,2706.88,100.00,607.85
unit-2,140,2706.87,100.00,604.97
unit-2,145,2706.86,100.00,602.80
